title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Efficient guided generation for large language models,"BT Willard, R Louf",2023,397,"… finite state machine (FSM) formulation of regular expressions to both arbitrarily start and stop guided generation … of the indexing approach described here, and implemented in Outlines, …",tgBNhlYdQ5QJ,"BT Willard, R Louf - arXiv preprint arXiv:2307.09702, 2023 - arxiv.org",[],https://arxiv.org/abs/2307.09702,unknown,unknown
Sglang: Efficient execution of structured language model programs,"L Zheng, L Yin, Z Xie, C Sun, J Huang…",2024,938,… regex into a Finite State Machine (FSM) to guide the generation process during decoding [… templates from the internet and implement them in SGLang. We utilize 5 of these templates as …,tj2gyY-JQWgJ,"L Zheng, L Yin, Z Xie, C Sun, J Huang… - Advances in neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/724be4472168f31ba1c9ac630f15dec8-Abstract-Conference.html,unknown,unknown
"Guiding llms the right way: Fast, non-invasive constrained generation","L Beurer-Kellner, M Fischer, M Vechev",2024,151,"… To ensure that text generated by large language models (… , regex-based generation templates similar to GUIDANCE or … to be particularly effective for schema-driven JSON generation, as …",hAVbM4cVVW4J,"L Beurer-Kellner, M Fischer, M Vechev - arXiv preprint arXiv:2403.06988, 2024 - arxiv.org",[],https://arxiv.org/abs/2403.06988,unknown,unknown
Guiding LLM-based smart contract generation with finite state machine,"H Luo, Y Lin, X Yan, X Hu, Y Wang, Q Zeng…",2025,11,… in this work — How to leverage LLMs to generate effective and secure smart contracts? … Leveraging large language models for automatic smart contract generation. In IEEE 48th Annual …,6lkXadWTgS0J,"H Luo, Y Lin, X Yan, X Hu, Y Wang, Q Zeng… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.08542,unknown,unknown
SG-FSM: A Self-Guiding Zero-Shot Prompting Paradigm for Multi-Hop Question Answering Based on Finite State Machine,"X Wang, J He, L Chen, G Haffari, Y Wang…",2025,9,… Researchers employ three primary strategies to address MHQA using Large Language Models (LLMs) due to their powerful and promising ability. One effective method is In-Context …,901sHztpPvQJ,"X Wang, J He, L Chen, G Haffari, Y Wang… - Findings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-naacl.335/,unknown,unknown
Xgrammar: Flexible and efficient structured generation engine for large language models,"Y Dong, CF Ruan, Y Cai, Z Xu, Y Zhao…",2025,163,"… For a rule R, we utilize a finite state automaton (FSA) Actx … guided by a JSON schema) and XML code generation. For … outperforms Outlines, and achieves the best efficiency overall …",pQeUOKLFt9QJ,"Y Dong, CF Ruan, Y Cai, Z Xu, Y Zhao… - Proceedings of …, 2025 - proceedings.mlsys.org",[],https://proceedings.mlsys.org/paper_files/paper/2025/hash/5c20ca4b0b20b0bd2f1d839dc605e70f-Abstract-Conference.html,unknown,unknown
Bridging the Gap: Aligning Language Model Generation with Structured Information Extraction via Controllable State Transition,"H Li, Y Ren, Y Cao, Y Li, F Fang, Z Lin…",2025,5,"… , a crucial capability for effective data utilization on the web. … for each event type, guiding the language model to generate … This section outlines the basic generation framework tailored …",YQhd1Ci2yAQJ,"H Li, Y Ren, Y Cao, Y Li, F Fang, Z Lin… - Proceedings of the ACM …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3696410.3714571,unknown,unknown
Can large language models help developers with robotic finite state machine modification?,"XR Gan, YR Song, N Walker, M Cakmak",2024,7,… prompting and language-guided code generation to reduce … has the potential to scale efficiently to evaluate more extensive … The following prompt used for extract_fsm outlines the task …,57zknNMJdOkJ,"XR Gan, YR Song, N Walker, M Cakmak - arXiv preprint arXiv:2412.05625, 2024 - arxiv.org",[],https://arxiv.org/abs/2412.05625,unknown,unknown
