title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Reflexion: Language agents with verbal reinforcement learning,"N Shinn, F Cassano, A Gopinath…",2023,6235,"… not by updating weights, but instead through linguistic feedback. Concretely, … -making Self-Refine [15] employs an iterative framework for selfrefinement to autonomously improve …",kIOAwRaBaiwJ,"N Shinn, F Cassano, A Gopinath… - Advances in neural …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html,unknown,unknown
Self-refine: Iterative refinement with self-feedback,"A Madaan, N Tandon, P Gupta…",2023,4993,… for improving initial outputs from LLMs through iterative … SELF-REFINE: a novel approach that allows large language … While ReAct and Reflexion provide a free-form reflection on …,-XrQ05CdM0MJ,"A Madaan, N Tandon, P Gupta… - Advances in neural …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,unknown,unknown
Recursive introspection: Teaching language model agents how to self-improve,"Y Qu, T Zhang, N Garg…",2024,204,"… , use the resulting feedback to improve the program, and … improvements to the learner’s own responses in an iterative … Interestingly, we found using prompting-only self-refine [33] largely …",Pw7UwAL7UbwJ,"Y Qu, T Zhang, N Garg… - Advances in Neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/639d992f819c2b40387d4d5170b8ffd7-Abstract-Conference.html,unknown,unknown
Metareflection: Learning instructions for language agents using past reflections,"P Gupta, S Kirtania, A Singha, S Gulwani…",2024,19,"… language agents can be improved using verbal reinforcement learning across multiple conversational turns, by providing feedback at … observe that this iterative refinement strategy leads …",qysaazVYDh4J,"P Gupta, S Kirtania, A Singha, S Gulwani… - … in Natural Language …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.emnlp-main.477/,unknown,unknown
Self: Self-evolution with language feedback,"J Lu, W Zhong, W Huang, Y Wang, Q Zhu, F Mi…",2023,19,"… with the ability to self-refine during inference, leading to further improved response quality. … improvement through multiple iterations of the self-evolution training process. Each iteration …",m32ui9K9E78J,"J Lu, W Zhong, W Huang, Y Wang, Q Zhu, F Mi… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2310.00533,unknown,unknown
Learn Like Humans: Use Meta-cognitive Reflection for Efficient Self-Improvement,"X Hou, B Qu, W Wang, P Gong, Q Guo…",2026,1,"… language models (LLMs) have enabled autonomous agents … multiple recursive iterations, automatically discovering agent … enhancement achieves the highest gains, with self-refine + …",MAWmpmEtiwgJ,"X Hou, B Qu, W Wang, P Gong, Q Guo… - Proceedings of the 64th …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.1329/,unknown,unknown
Teaching language models to self-improve by learning from language feedback,"C Hu, Y Hu, H Cao, T Xiao, J Zhu",2024,16,"… Intriguingly, we find that a single iteration of refinement is typically adequate, with additional … language feedback and refinements are crucial for language models to learn to self-improve…",Q1ktPrt4PlgJ,"C Hu, Y Hu, H Cao, T Xiao, J Zhu - Findings of the Association for …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.findings-acl.364/,unknown,unknown
Agent-r: Training language model agents to reflect via iterative self-training,"S Yuan, Z Chen, Z Xi, J Ye, Z Du, J Chen",2025,42,"… To further explore the scalability of this self-improvement paradigm, we investigate iterative … Agent-R, a novel iterative framework that empowers language agents with selfreflection …",2ZNwUdVR1j4J,"S Yuan, Z Chen, Z Xi, J Ye, Z Du, J Chen - arXiv preprint arXiv:2501.11425, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.11425,unknown,unknown
