title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Jsonschemabench: A rigorous benchmark of structured outputs for language models,"S Geng, H Cooper, M Moskal, S Jenkins…",2025,74,"… evaluation framework for constrained decoding frameworks with JSON schemas, focusing on … forward one token at a time, essentially simulating the generation process of an LLM …",3g8UwLrEQFkJ,"S Geng, H Cooper, M Moskal, S Jenkins… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.10868,unknown,unknown
Slot: Structuring the output of large language models,"DYB Wang, Z Shen, SS Mishra, Z Xu…",2025,29,"… -structure problem, ie, to transform an existing LLM’s free-form text output into a structured format according to a specified JSON schema… We observe that constrained decoding methods …",XI_MRaIg3IYJ,"DYB Wang, Z Shen, SS Mishra, Z Xu… - arXiv preprint arXiv …, 2025 - aclanthology.org",[],https://aclanthology.org/anthology-files/anthology-files/pdf/emnlp/2025.emnlp-industry.32.pdf,unknown,unknown
Think inside the json: Reinforcement strategy for strict llm schema adherence,"B Agarwal, I Joshi, V Rojkova",2025,25,"… -efficient framework for schema-constrained text generation. … fast, non-invasive constrained decoding that can guide LLMs … JSON schema, yet differs in structure, style, and formatting. …",5Chgg75LhIwJ,"B Agarwal, I Joshi, V Rojkova - arXiv preprint arXiv:2502.14905, 2025 - arxiv.org",[],https://arxiv.org/abs/2502.14905,unknown,unknown
SLOT: Structuring the Output of Large Language Models,"Z Shen, DYB Wang, SS Mishra, Z Xu…",2025,14,"… -structure problem, ie, to transform an existing LLM’s free-form text output into a structured format according to a specified JSON schema… We observe that constrained decoding methods …",fbFMrWYEIc4J,"Z Shen, DYB Wang, SS Mishra, Z Xu… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-industry.32/,unknown,unknown
Draft-conditioned constrained decoding for structured generation in llms,"A Reddy, TT Walker, JS Ide, AS Bedi",2026,3,"… structured generation, which produces outputs that must satisfy hard constraints such as JSON schemas… formats, has become a practical bottleneck for reliable LLM deployment (OpenAI…",P_f51h-MimUJ,"A Reddy, TT Walker, JS Ide, AS Bedi - arXiv preprint arXiv:2603.03305, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.03305,unknown,unknown
Constrained decoding of diffusion llms with context-free grammars,"N Mündler, J Dekoninck, M Vechev",2025,14,"… constrained decoding as a means to restrict LLM generation … two separate constraints: (1) the structural constraints on the … , ie, in the case of JSON schemas, or when specifying the …",PTKBDaPpykkJ,"N Mündler, J Dekoninck, M Vechev - arXiv preprint arXiv:2508.10111, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.10111,unknown,unknown
Token-Oriented Object Notation vs JSON: A Benchmark of Plain and Constrained Decoding Generation,I Matveev,2026,3,"… for structured LLM generation across … constraints (such as JSON Schema, regex, or grammar) into a state machine (eg, xgrammar [1]) and prunes illegal next tokens during generation, …",cpn9aXtaon0J,"I Matveev - arXiv preprint arXiv:2603.03306, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.03306,unknown,unknown
Thinking Before Constraining: A Unified Decoding Framework for Large Language Models,"NTH Nguyen, A Silva, L Zumot, L Tupikina…",2026,4,"… , and then switching to structured generation, our method pre… to JSON, in this work we focus exclusively on JSON schemas … 2024), where constrained decoding was shown to harm LLM …",SCoN-2rNR8AJ,"NTH Nguyen, A Silva, L Zumot, L Tupikina… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.07525,unknown,unknown
Two Shots are Enough: Reliable Constrained Generation with LLMs,"M Mondal, L Dolamic…",2025,1,"… -shot prompting on structured content generation. We show … For the JSON format, the LLM is asked to produce a JSON … : To investigate the impact of constrained decoding and the …",N274E2YMydcJ,"M Mondal, L Dolamic… - … Conference on Big …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11402199/,unknown,unknown
