title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Swe-agent: Agent-computer interfaces enable automated software engineering,"J Yang, C Jimenez, A Wettig, K Lieret…",2024,2005,… We investigate how interface design affects the performance of language … SWE-agent: a system that facilitates LM agents to autonomously use computers to solve software engineering …,BTHhvd4NwcwJ,"J Yang, C Jimenez, A Wettig, K Lieret… - Advances in …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html,unknown,unknown
Swe-smith: Scaling data for software engineering agents,"J Yang, K Lieret, C Jimenez, A Wettig…",2026,226,"… progress towards automating software engineering (SE) tasks, … SWE-agent provides a base LM with an Agent Computer … choose SWE-agent because, at the time of writing, SWE-agent …",AeS7LYug6WMJ,"J Yang, K Lieret, C Jimenez, A Wettig… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/8b86cf5ace600c48fd188efbb8dedec8-Abstract-Datasets_and_Benchmarks_Track.html,unknown,unknown
Seaview: Software engineering agent visual interface for enhanced workflow,"T Bula, S Pujar, L Buratti, M Bornea, A Sil",2025,8,"… We present SEAVIEW, an analysis framework for large scale SWE agent experiments. This … Swe-agent: Agent-computer interfaces enable automated software engineering. Advances …",mnh2y3OEPRUJ,"T Bula, S Pujar, L Buratti, M Bornea, A Sil - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.08696,unknown,unknown
Swe-dev: Building software engineering agents with training and inference scaling,"H Wang, Z Hou, Y Wei, J Tang…",2025,26,… end-to-end automation of the software development process. … pre-define a set of agent-computer interfaces (ACIs) to help … We explore how SWE agent performance scales along two …,Do70lRXGeZoJ,"H Wang, Z Hou, Y Wei, J Tang… - Findings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-acl.193/,unknown,unknown
Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?,"CS Xia, Z Wang, Y Yang, Y Wei, L Zhang",2025,58,"… propose LIVE-SWE-AGENT, the first live software agent that can … solving real-world software problems. More specifically, LIVE-… SWE-agent: Agent-computer interfaces enable automated …",ByndPQ9lRYwJ,"CS Xia, Z Wang, Y Yang, Y Wei, L Zhang - arXiv preprint arXiv:2511.13646, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.13646,unknown,unknown
Swe-bench pro: Can ai agents solve long-horizon software engineering tasks?,"X Deng, J Da, E Pan, YY He, C Ide, K Garg…",2025,148,"… , emphasizing the critical importance of agent-computer … We use automatic verification to ensure that the environment is … of the failure buckets and overall SWE-Agent format, we feed the …",AzYPKnIei-YJ,"X Deng, J Da, E Pan, YY He, C Ide, K Garg… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.16941,unknown,unknown
