title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The berkeley function calling leaderboard (bfcl): From tool use to agentic evaluation of large language models,"SG Patil, H Mao, F Yan, CCJ Ji, V Suresh…",2025,524,"… proposed to test LLM’s ability to perform function calling, in … As the outputs of the function calls are structured, Char-NLL … Lower values indicate better modeling of structured output. …",v0_v-RejOPkJ,"SG Patil, H Mao, F Yan, CCJ Ji, V Suresh… - … on Machine Learning, 2025 - openreview.net",[],https://openreview.net/forum?id=2GmDdhBdDk,unknown,unknown
"Callnavi, a challenge and empirical study on llm function calling and routing","Y Song, X Tang, C Lothritz, S Ezzini, J Klein…",2025,9,"… , but their ability to produce structured outputs, such as API calls, program code, or other … ] improve structured output reliability, aligning with CallNavi’s focus on evaluating structured …",pWnofRn8zAcJ,"Y Song, X Tang, C Lothritz, S Ezzini, J Klein… - … and Assessment in …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3756681.3756975,unknown,unknown
Improving Large Language Models Function Calling and Interpretability via Guided-Structured Templates,"H Dang, T Liu, Z Wu, J Yang, H Jiang…",2025,4,"… for reliable tool use. In this work, we propose a template-based reasoning framework for … )—we evaluate the effectiveness of r by prompting an LLM to predict a function call y′ …",P2hdeoq-gREJ,"H Dang, T Liu, Z Wu, J Yang, H Jiang… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-main.1242/,unknown,unknown
Toolace: Winning the points of llm function calling,"W Liu, X Huang, X Zeng, S Yu, D Li…",2025,190,"… given LLM, we propose a self-guided dialog generation (SDG) module to synthesize the function-calling … capability of LLMs is the accuracy and reliability of the training data. Data that is …",9Tk7la-v5DoJ,"W Liu, X Huang, X Zeng, S Yu, D Li… - International …, 2025 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2025/hash/663865ea167425c6c562cb0b6bcf76c7-Abstract-Conference.html,unknown,unknown
"Function calling in large language models: Industrial practices, challenges, and future directions","M Wang, Y Zhang, B Yu, B Hao, C Peng…",2026,20,… challenges when producing structured outputs and engaging in … reliable execution. Researchers have established various … 2.1: Missing Calls The LLM fails to initiate function calls …,Dx75RIEXytQJ,"M Wang, Y Zhang, B Yu, B Hao, C Peng… - ACM Computing …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3788284,unknown,unknown
LoopTool: Closing the Data–Training Loop for Robust LLM Tool Calls,"K Zhang, W Liu, W Jiao, K Du, Y Lu…",2026,3,"… To overcome the limitations of static data generation and support dynamically adaptive model training, we develop an automated iterative framework for tool-augmented LLM learning …",MXE2mE3IwgMJ,"K Zhang, W Liu, W Jiao, K Du, Y Lu… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.968/,unknown,unknown
"Towards Reliable Benchmarking: A Contamination Free, Controllable Evaluation Framework for Multi-step LLM Function Calling","S Maekawa, J Hassell, P Pezeshkpour…",2025,7,… the correct call sequence to … functions) while avoiding pretraining/test-time leakage. We apply our FuncBenchGen framework to evaluate seven open and closed LLMs on tool use tasks …,S0JQh_FUcx4J,"S Maekawa, J Hassell, P Pezeshkpour… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.26553,unknown,unknown
ReliabilityBench: Evaluating LLM Agent Reliability Under Production-Like Stress Conditions,A Gupta,2026,18,"… tool-using LLM agents primarily measure single-run success rates, failing to capture the reliability … We introduce ReliabilityBench, a benchmark that evaluates agent reliability across …",Pi0sV8XoXrgJ,"A Gupta - arXiv preprint arXiv:2601.06112, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.06112,unknown,unknown
