title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Small language models for agentic systems: A survey of architectures, capabilities, and deployment trade offs","R Sharma, M Mehta",2025,77,"… are designed to call external tools, compose structured outputs, and follow deterministic workflows—… such as latency, cost, or on-device execution. Agentic systems, in this context, are …",GJOMopAVT7kJ,"R Sharma, M Mehta - arXiv preprint arXiv:2510.03847, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.03847,unknown,unknown
Cognitive edge computing: A comprehensive survey on optimizing large models and AI agents for pervasive deployment,"X Wang, Q Li, W Jia",2025,23,"… advances in small language models optimized for agentic tasks [… edge, enabling safe iteration and workflow integration at scale. … work on distilling on-device language models for robot …",cwA7i5HOxh4J,"X Wang, Q Li, W Jia - arXiv preprint arXiv:2501.03265, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.03265,unknown,unknown
Deploying foundation model powered agent services: A survey,"W Xu, J Chen, P Zheng, X Yi, T Tian…",2025,19,"… have enabled smaller language models to effectively perform … STI is an on-device inference system with two novel … agents, including complex workflow adaptability, efficient multi-agent …",awLBbUxlpzMJ,"W Xu, J Chen, P Zheng, X Yi, T Tian… - … Surveys & Tutorials, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11039635/,unknown,unknown
TinyLLM: Evaluation and Optimization of Small Language Models for Agentic Tasks on Edge Devices,"MA Haque, F Rahman, KD Gupta, K Shujaee…",2025,6,"… (eg, coding), offering practical bases for ondevice function calling and tool use [4]. These … study shows small language models under 3 billion parameters can effectively handle agentic …",R7EzKEJPGhkJ,"MA Haque, F Rahman, KD Gupta, K Shujaee… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.22138,unknown,unknown
Networking-Aware Energy Efficiency in Agentic AI Inference: A Survey,"X Chen, H Yu, W Ni, D Niyato, R Zhang, X Wang…",2026,0,"… of Large Language Models (LLMs) has catalyzed Agentic … -v2, enabling all-day on-device reasoning under strict memory … intelligent slicing for agentic workflows that reserves bandwidth…",w--tXHxAS6oJ,"X Chen, H Yu, W Ni, D Niyato, R Zhang, X Wang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.07857,unknown,unknown
On-device language models: A comprehensive review,"J Xu, Z Li, W Chen, Q Wang, X Gao, Q Cai…",2024,227,"… accuracy while maintaining a small model size, making it ideal for on-device applications. … in developing more capable, efficient, and reliable on-device language models, we aim to …",eItQJPAiF9QJ,"J Xu, Z Li, W Chen, Q Wang, X Gao, Q Cai… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2409.00088,unknown,unknown
Energy-Efficient Small Language Model Inference for Mobile Agents via DVFS,"J Chen, L Han, J Cao, Z Li",2026,1,"… Therefore, effective power governing for on-device SLM … governing framework tailored for on-device SLM inference. We … space for energy optimization in agentic workflows. In human-in-…",tGesR0S2XhEJ,"J Chen, L Han, J Cao, Z Li - … of the 24th Annual International Conference …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3812836.3814753,unknown,unknown
Small language models are the future of agentic ai,"P Belcak, G Heinrich, S Diao, Y Fu, X Dong…",2025,398,"… valuable in agentic workflows where specialization and … models, which under the same study lack the capacity for the … enable capable language models that can run on-device or within …",TXlkEvNre-YJ,"P Belcak, G Heinrich, S Diao, Y Fu, X Dong… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.02153,unknown,unknown
