title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Prompting is programming: A query language for large language models,"L Beurer-Kellner, M Fischer, M Vechev",2023,340,"… We show that LMQL can capture a wide range of state-of-the-art prompting methods in an intuitive way… arithmetic evaluation in LMQL, relying on scripted prompting and constraints. The …",kom_OoGVmtEJ,"L Beurer-Kellner, M Fischer, M Vechev - … on Programming Languages, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3591300,unknown,unknown
Language Model Programming,L Beurer-Kellner,2025,0,"… , we show that LMQL can express a wide range of state-of-the-art prompting methods in an … LMQL constraints enforce that the output fits the prompt template and avoid failure cases …",lmQQC6Uhz6IJ,L Beurer-Kellner - 2025 - research-collection.ethz.ch,[],https://www.research-collection.ethz.ch/bitstreams/176a88a1-0384-4e5c-8f5c-2d7ba935a4e8/download,unknown,unknown
Askit: Unified programming interface for programming with large language models,"K Okuda, S Amarasinghe",2024,28,… The core idea of our prompt generation is to leverage the LLM’s … LMQL [26] is a query language specifically designed for … allows model developers to declare logical constraints …,CaTUZcu_dWIJ,"K Okuda, S Amarasinghe - 2024 IEEE/ACM International …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10444830/,unknown,unknown
Prompting frameworks for large language models: A survey,"X Liu, J Wang, X Yuan, J Sun, G Dong, P Di…",2026,115,"… language and programming scripts, enhancing interaction intuitiveness. These composite prompts embed constraints … instance, LMQL [10] blends natural language with programming …",EX18wtAxi6wJ,"X Liu, J Wang, X Yuan, J Sun, G Dong, P Di… - ACM Computing …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3789253,unknown,unknown
Structured Prompt Language: Declarative Context Management for LLMs,WG Gong,2026,3,"… existing prompt management approaches (Prompty, DSPy, LMQL) … context window as a constrained resource allocation problem… without learning a new programming paradigm. e DSPy …",yna-XBVcVA4J,"WG Gong - arXiv preprint arXiv:2602.21257, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.21257,unknown,unknown
Validating Language Model Programming,M Fritzler,2025,0,"… Language Model Query Language (LMQL), which is a novel declarative language for constrained … , this work empirically evaluates LMQL against conventional prompting and retrieval-…",RI3djbVtp9IJ,M Fritzler - 2025 - diglib.uibk.ac.at,[],https://diglib.uibk.ac.at/download/pdf/13130974.pdf,unknown,unknown
